rank,prev_rank,name,league,off,def,spi
95,95,Red Star Belgrade,UEFA Champions League,2.02,1.21,63.24
96,103,Leeds United,English League Championship,1.66,0.91,63.1
97,94,Montpellier,French Ligue 1,1.6,0.87,63.06
98,100,Tigres UANL,Mexican Primera Division Torneo Clausura,1.71,0.97,62.88
99,101,Braga,Portuguese Liga,1.58,0.85,62.87
100,92,Sheffield United,English League Championship,1.58,0.86,62.75
101,104,Zenit St Petersburg,Russian Premier Liga,1.62,0.89,62.7
102,99,Brighton and Hove Albion,Barclays Premier League,1.67,0.94,62.63
103,102,Viktoria Plzen,UEFA Europa League,1.98,1.22,62.31
104,93,Sassuolo,Italy Serie A,1.72,1.01,62.09
105,98,Monterrey,Mexican Primera Division Torneo Clausura,1.71,1.0,61.97
106,117,AEK Athens,Greek Super League,1.39,0.73,61.83
107,111,LASK Linz,Austrian T-Mobile Bundesliga,1.76,1.05,61.83
108,122,Bologna,Italy Serie A,1.69,1.01,61.44
109,123,AS Monaco,French Ligue 1,1.61,0.94,61.3
110,112,Reims,French Ligue 1,1.5,0.85,61.21
111,110,Internacional,Brasileiro Série A,1.51,0.86,61.16
112,121,River Plate,Argentina Primera Division,1.61,0.95,61.01
113,109,Spartak Moscow,Russian Premier Liga,1.62,0.97,60.93
114,114,Boca Juniors,Argentina Primera Division,1.58,0.93,60.93
115,113,Shanghai SIPG,Chinese Super League,1.85,1.17,60.91
116,107,Genk,Belgian Jupiler League,1.77,1.1,60.86
117,119,SC Freiburg,German Bundesliga,1.77,1.11,60.64
118,108,Strasbourg,French Ligue 1,1.55,0.92,60.55
119,116,Angers,French Ligue 1,1.49,0.87,60.45
120,126,Club América,Mexican Primera Division Torneo Clausura,1.64,1.01,60.41
121,115,Dinamo Zagreb,UEFA Europa League,1.55,0.93,60.37
122,118,Malmo FF,Swedish Allsvenskan,1.67,1.03,60.36
123,125,FC Augsburg,German Bundesliga,1.82,1.19,59.85
124,127,Atletico Mineiro,Brasileiro Série A,1.58,0.98,59.55
125,128,Atlético Paranaense,Brasileiro Série A,1.51,0.93,59.44
126,105,Fortuna Düsseldorf,German Bundesliga,1.72,1.12,59.33
127,131,Bordeaux,French Ligue 1,1.46,0.9,59.17
128,148,Aston Villa,English League Championship,1.68,1.1,58.98
129,120,Nice,French Ligue 1,1.38,0.84,58.84
130,130,Racing Club,Argentina Primera Division,1.5,0.94,58.81
131,133,Norwich City,English League Championship,1.78,1.2,58.76
132,132,VfB Stuttgart,German Bundesliga,1.72,1.16,58.39
133,136,Brentford,English League Championship,1.69,1.13,58.32
134,124,Rangers,Scottish Premiership,1.72,1.16,58.31
135,129,Standard Liege,Belgian Jupiler League,1.72,1.17,58.18
136,135,AIK,Swedish Allsvenskan,1.34,0.83,58.15
137,149,Cagliari,Italy Serie A,1.64,1.11,57.86
138,137,Cardiff City,Barclays Premier League,1.6,1.08,57.61
139,140,Nimes,French Ligue 1,1.61,1.1,57.52
140,145,Trabzonspor,Turkish Turkcell Super Lig,1.8,1.28,57.41
141,138,São Paulo,Brasileiro Série A,1.34,0.85,57.4
142,134,Mainz,German Bundesliga,1.68,1.17,57.33
143,139,Beijing Guoan,Chinese Super League,1.73,1.23,57.12
144,142,Empoli,Italy Serie A,1.71,1.21,57.04
145,144,Spal,Italy Serie A,1.52,1.04,56.94
146,165,KAA Gent,Belgian Jupiler League,1.71,1.22,56.9
147,141,FC Astana,UEFA Europa League,1.67,1.18,56.76
148,143,Fulham,Barclays Premier League,1.68,1.19,56.72
149,162,Anderlecht,Belgian Jupiler League,1.53,1.06,56.69
150,146,BK Hacken,Swedish Allsvenskan,1.61,1.15,56.37
151,147,Santos,Brasileiro Série A,1.39,0.94,56.35
152,156,Udinese,Italy Serie A,1.53,1.08,56.14
153,163,Toulouse,French Ligue 1,1.5,1.06,56.02
154,177,Caykur Rizespor,Turkish Turkcell Super Lig,1.61,1.16,55.95
155,150,Cruzeiro,Brasileiro Série A,1.35,0.92,55.82
156,153,Fenerbahce,Turkish Turkcell Super Lig,1.69,1.24,55.77
